node_id,betweenness_ego,closeness_ego,delta_clustering_ego,delta_diameter_ego,n_components_no_self_ego,delta_density_ego,betweenness_centrality,closeness_centrality,same_community@0.01,n_neighboring_communities@0.01,same_community@0.45,n_neighboring_communities@0.45,same_community@0.90,n_neighboring_communities@0.90,same_community@1.34,n_neighboring_communities@1.34,same_community@1.78,n_neighboring_communities@1.78,same_community@2.23,n_neighboring_communities@2.23,same_community@2.67,n_neighboring_communities@2.67,same_community@3.11,n_neighboring_communities@3.11,same_community@3.56,n_neighboring_communities@3.56,same_community@4.00,n_neighboring_communities@4.00,mean_same,mean_neighboring,percentile_same_10,percentile_neighboring_10,percentile_same_25,percentile_neighboring_25,percentile_same_75,percentile_neighboring_75,percentile_same_90,percentile_neighboring_90
17010,0.6547222222222222,1.0,-0.2934981684981685,3,1,-0.0643589743589743,0.0007054696530658,0.2470274393516338,1.0,1,0.56,4,0.76,5,0.72,6,0.84,4,0.84,4,0.52,9,0.68,6,0.32,6,0.76,6,0.7,5.1,0.5,3.7,0.5900000000000001,4.0,0.82,6.0,0.8559999999999999,6.299999999999999
1943,0.5703703703703703,1.0,-0.0092929292929293,9,2,-0.1171717171717171,0.0003380398948422,0.2171997686164767,1.0,1,0.6,3,0.5,3,0.5,4,0.5,3,0.5,3,0.5,4,0.5,3,0.5,5,0.5,3,0.5599999999999999,3.2,0.5,2.8,0.5,3.0,0.5,3.75,0.6399999999999998,4.1
2489,0.5289874110563765,1.0,-0.1656301834777919,2,1,-0.0514645902855024,0.0006612726848748,0.2497425466206743,1.0,1,0.3,5,0.8666666666666667,5,0.5666666666666667,7,0.7666666666666667,7,0.7,8,0.3666666666666666,10,0.6666666666666666,9,0.5,11,0.5666666666666667,11,0.63,7.4,0.36,4.6,0.5166666666666666,5.5,0.75,9.75,0.88,11.0
3426,0.0,1.0,-1.0,0,1,0.0,0.0,0.2108843919731879,1.0,1,0.5,2,1.0,1,0.5,2,1.0,1,1.0,1,0.5,2,1.0,1,0.5,2,1.0,1,0.8,1.4,0.5,1.0,0.5,1.0,1.0,2.0,1.0,2.0
4049,0.7135076252723312,1.0,-0.2240871787311415,17,4,-0.08875128998968,0.0007415603600675,0.234481406718361,1.0,1,0.6666666666666666,4,0.6666666666666666,5,0.6111111111111112,7,0.6111111111111112,6,0.6111111111111112,6,0.6666666666666666,6,0.6111111111111112,7,0.5,8,0.6111111111111112,7,0.6555555555555556,5.7,0.6000000000000001,3.7,0.6111111111111112,5.25,0.6666666666666666,7.0,0.6999999999999998,7.1
16961,0.6393906810035842,1.0,-0.2582208897733091,30,2,-0.0525537634408602,0.0010771862764764,0.2456311467128116,1.0,1,0.5806451612903226,4,0.7741935483870968,4,0.6451612903225806,4,0.7419354838709677,5,0.6451612903225806,7,0.3225806451612903,10,0.6774193548387096,7,0.5483870967741935,8,0.5483870967741935,10,0.6483870967741936,6.0,0.5258064516129032,3.7,0.5564516129032258,4.0,0.7258064516129032,7.75,0.796774193548387,10.0
17897,0.1666666666666666,1.0,-0.8333333333333333,0,1,-0.1666666666666667,1.969374841832684e-07,0.1997949941462037,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,0.6666666666666666,2,1.0,1,0.9666666666666666,1.1,0.9666666666666668,1.0,1.0,1.0,1.0,1.0,1.0,1.0999999999999996
26904,0.6174242424242424,1.0,-0.0942696192696193,11,2,-0.1118881118881119,5.934528898511804e-05,0.2311451095814805,1.0,1,0.5,4,0.6666666666666666,3,0.75,3,0.9166666666666666,2,0.6666666666666666,3,0.5,4,0.6666666666666666,3,0.4166666666666667,6,0.6666666666666666,3,0.675,3.2,0.4916666666666667,1.9,0.5416666666666666,3.0,0.7291666666666666,3.75,0.925,4.199999999999999
27801,0.2049123454490686,1.0,-0.039310076048008,3,1,-0.0068585452433906,0.0016167019527331,0.2727521964910817,1.0,1,0.864406779661017,4,0.8389830508474576,7,0.8135593220338984,11,0.847457627118644,9,0.8135593220338984,11,0.788135593220339,15,0.8050847457627118,12,0.7796610169491526,16,0.7796610169491526,13,0.8330508474576271,9.9,0.7796610169491526,3.7,0.7923728813559322,7.5,0.8453389830508474,12.75,0.8779661016949152,15.1
32403,0.7802197802197803,1.0,-0.2069230769230769,13,6,-0.1128205128205128,0.0005009569571522,0.2348562981765893,1.0,1,0.2857142857142857,5,0.3571428571428571,5,0.2142857142857142,4,0.5,6,0.5,5,0.1428571428571428,9,0.3571428571428571,7,0.3571428571428571,7,0.4285714285714285,7,0.4142857142857142,5.6,0.2071428571428571,3.7,0.3035714285714285,5.0,0.4821428571428571,7.0,0.5499999999999998,7.199999999999999
35262,0.0602486406919474,1.0,-0.0122102985265248,3,1,-0.000778093973313,0.0014041882269722,0.2875437261014579,1.0,1,0.9482071713147412,4,0.9482071713147412,5,0.9442231075697212,9,0.8685258964143426,10,0.7410358565737052,12,0.4900398406374502,22,0.4382470119521912,23,0.3665338645418327,36,0.0199203187250996,55,0.6764940239043825,17.7,0.3318725099601594,3.7,0.4511952191235059,6.0,0.947211155378486,22.75,0.953386454183267,37.89999999999999
40848,0.0,1.0,0.0,0,1,0.0,0.0,0.2163616813838266,1.0,1,1.0,1,0.6666666666666666,2,0.6666666666666666,2,0.6666666666666666,2,0.6666666666666666,2,0.6666666666666666,2,0.6666666666666666,2,0.3333333333333333,3,0.6666666666666666,2,0.7,1.9,0.6333333333333333,1.0,0.6666666666666666,2.0,0.6666666666666666,2.0,1.0,2.0999999999999996
44114,0.75,1.0,-0.4128267973856209,16,3,-0.093954248366013,0.0008838960333513,0.2398357744889385,1.0,1,0.5882352941176471,3,0.6470588235294118,6,0.7647058823529411,5,0.7647058823529411,5,0.7647058823529411,5,0.5294117647058824,8,0.6470588235294118,6,0.4705882352941176,7,0.7058823529411765,6,0.6882352941176471,5.2,0.5235294117647059,2.8,0.6029411764705883,5.0,0.7647058823529411,6.0,0.7882352941176469,7.1
45648,0.7731800766283525,1.0,-0.3028356931249034,29,2,-0.0575454208379681,0.0027189434527633,0.2281566872905578,1.0,1,0.8333333333333334,4,0.7,3,0.9,3,0.7666666666666667,4,0.8,3,0.7333333333333333,6,0.7333333333333333,5,0.8666666666666667,4,0.5666666666666667,5,0.79,3.8,0.6866666666666666,2.8,0.7333333333333333,3.0,0.8583333333333334,4.75,0.91,5.1
45654,0.2619047619047618,1.0,-0.1166666666666667,0,1,-0.1309523809523809,7.828681908557164e-05,0.2043757419887123,1.0,1,0.5714285714285714,2,0.5714285714285714,2,0.8571428571428571,2,1.0,1,1.0,1,0.5714285714285714,3,0.5714285714285714,2,1.0,1,0.7142857142857143,2,0.7857142857142857,1.7,0.5714285714285714,1.0,0.5714285714285714,1.0,1.0,2.0,1.0,2.0999999999999996
47702,0.0,1.0,-1.0,0,1,0.0,0.0,0.1983322270076823,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
