ID,span_rabbis_text,first_rabbi,first_rabbi_no_prefix,first_rabbi_after_link,second_rabbi,second_rabbi_no_prefix,second_rabbi_after_link,rabbis_after_link_alpha_order,interval_text,token_string,numb_intervening_tokens,masechet,start_span,end_span,amud,exist_before_new_markers_start_span,first_rabbi_after_link_id,second_rabbi_after_link_id
8,וכדרב יהודה אמר שמואל דאמר ^רב יהודה אמר שמואל^ כהנים בעבודתם ולוים בדוכנן וישראל,רב יהודה,רב יהודה,רב יהודה בר יחזקאל,שמואל,שמואל,שמואל,רב יהודה בר יחזקאל-שמואל, אמר ,אמר,1,Arakhin,6875,6892,4A,6875,1394,2763
13,דכתיב.  ואלא קרא למה לי אמר ^רב נחמן אמר רבה בר אבוה^ לומר שאינו נידון בהשג יד,רב נחמן,רב נחמן,רב נחמן בר יעקב,רבה בר אבוה,רבה בר אבוה,רבה בר אבוה,רב נחמן בר יעקב-רבה בר אבוה, אמר ,אמר,1,Arakhin,9669,9691,4B,9669,2285,2586
14,טעמא כמפרש דמי.  איכא דאמרי אמר ^רב נחמן אמר רבה בר אבוה^ נידון בהשג יד פשיטא מהו,רב נחמן,רב נחמן,רב נחמן בר יעקב,רבה בר אבוה,רבה בר אבוה,רבה בר אבוה,רב נחמן בר יעקב-רבה בר אבוה, אמר ,אמר,1,Arakhin,9754,9776,4B,9754,2285,2586
18,דבריו לבטלה.  כמאן אזלא הא דאמר ^רב גידל אמר רב^ האומר ערך כלי עלי נותן,רב גידל,רב גידל,רב גידל,רב,רב,רב,רב-רב גידל, אמר ,אמר,1,Arakhin,12943,12956,5A,12943,820,2578
19,שנא הכא.  כמאן אזלא הא דאמר ^רבה בר יוסף אמר רב^ ואמרי לה אמר רב ייבא,רבה בר יוסף,רבה בר יוסף,רבה בר יוסף,רב,רב,רב,רב-רבה בר יוסף, אמר ,אמר,1,Arakhin,13410,13427,5B,13410,2606,2578
21,אמר רב ואמרי לה אמר ^רב ייבא בר יוסי אמר רב^ המקדיש בהמת חבירו נותן דמיה,רב ייבא בר יוסי,רב ייבא בר יוסי,רבה בר יוסף,רב,רב,רב,רב-רבה בר יוסף, אמר ,אמר,1,Arakhin,13442,13463,5B,13442,2606,2578
24,אמרה רב חדא זימנא דאמר ^רב גידל אמר רב^ האומר ערך כלי עלי נותן,רב גידל,רב גידל,רב גידל,רב,רב,רב,רב-רב גידל, אמר ,אמר,1,Arakhin,13536,13549,5B,13536,820,2578
31,ולנו מאי עביד ליה אמר ^רב חסדא אמר אבימי^ וערכו נגנז,רב חסדא,רב חסדא,רב חסדא,אבימי,אבימי,אבימי,אבימי-רב חסדא, אמר ,אמר,1,Arakhin,14887,14903,5B,14887,1345,129
32,הימנו ותניא אידך אין מקבלין.  אמר ^רבי אילא אמר רבי יוחנן^ לא קשיא הא בתחילה הא,רבי אילא,רבי אילא,רבי אילעאי,רבי יוחנן,רבי יוחנן,רבי יוחנן,רבי אילעאי-רבי יוחנן, אמר ,אמר,1,Arakhin,15261,15282,6A,15261,368,1570
33,קשיא הא בתחילה הא בסוף.  דאמר ^רבי אסי אמר רבי יוחנן^ בתחילה אפילו מים ומלח אין,רבי אסי,רבי אסי,רבי אסי,רבי יוחנן,רבי יוחנן,רבי יוחנן,רבי אסי-רבי יוחנן, אמר ,אמר,1,Arakhin,15317,15337,6A,15317,535,1570
34,עקר טורי ולא הדר ביה.  אמר ^רב יהודה אמר רב^ גוי שהפריש תרומה מכריו בודקין,רב יהודה,רב יהודה,רב יהודה בר יחזקאל,רב,רב,רב,רב-רב יהודה בר יחזקאל, אמר ,אמר,1,Arakhin,15635,15649,6A,15635,1394,2578
35,המטה הרי זה יגוד ויגנוז.  אמר ^רב נחמן אמר רבה^ בר אבהו האומר סלע זו,רב נחמן,רב נחמן,רב נחמן בר יעקב,רבה,רבה,רבה בר נחמני,רב נחמן בר יעקב-רבה בר נחמני, אמר ,אמר,1,Arakhin,16170,16184,6A,16170,2285,2581
36,אין לאחר לא איתמר אמר ^רב אמי אמר רבי יוחנן^ בין לעצמו בין לאחר,רב אמי,רב אמי,רבי אמי,רבי יוחנן,רבי יוחנן,רבי יוחנן,רבי אמי-רבי יוחנן, אמר ,אמר,1,Arakhin,16263,16282,6A,16263,495,1570
39,אנן הכי מתנינן לה אמר ^רב נחמן אמר רבה בר אבוה^ אמר רב האומר סלע זו,רב נחמן,רב נחמן,רב נחמן בר יעקב,רבה בר אבוה,רבה בר אבוה,רבה בר אבוה,רב נחמן בר יעקב-רבה בר אבוה, אמר ,אמר,1,Arakhin,16751,16773,6A,16751,2285,2586
40,לה אמר רב נחמן אמר ^רבה בר אבוה אמר רב^ האומר סלע זו לצדקה מותר,רבה בר אבוה,רבה בר אבוה,רבה בר אבוה,רב,רב,רב,רב-רבה בר אבוה, אמר ,אמר,1,Arakhin,16763,16780,6A,16763,2586,2578
48,חייבין לשלם דמי שור לבעליו.  אמר ^רבי אילא אמר רב^ כשעמד בדין והא הרגו קתני,רבי אילא,רבי אילא,רבי אילעאי,רב,רב,רב,רב-רבי אילעאי, אמר ,אמר,1,Arakhin,19610,19624,7A,19610,368,2578
